FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0;undefined;undefined;San Marino;2020-02-27T21:13:10;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Sri Lanka;2020-02-08T03:43:03;undefined;undefined;1;0;1;0;undefined
0;undefined;"Boston,MA";US;2020-02-28T21:13:12;undefined;undefined;1;0;1;0;undefined
0;undefined;"HumboldtCounty, CA";US;2020-02-21T05:13:09;undefined;undefined;1;0;0;0;undefined
0;undefined;"LosAngeles, CA";US;2020-02-01T19:53:03;undefined;undefined;1;0;0;0;undefined
0;undefined;"Madison,WI";US;2020-02-05T21:53:02;undefined;undefined;1;0;0;0;undefined
0;undefined;"Orange,CA";US;2020-02-01T19:53:03;undefined;undefined;1;0;0;0;undefined
0;undefined;"SanAntonio, TX";US;2020-02-13T18:53:02;undefined;undefined;1;0;0;0;undefined
0;undefined;"Seattle,WA";US;2020-02-09T07:03:04;undefined;undefined;1;0;1;0;undefined
0;undefined;"Tempe,AZ";US;2020-02-25T21:23:03;undefined;undefined;1;0;1;0;undefined
0;undefined;"Lackland,TX (From Diamond Princess)";US;2020-02-24T23:33:02;undefined;undefined;0;0;0;0;undefined
0;undefined;"Omaha,NE (From Diamond Princess)";US;2020-02-24T23:33:02;undefined;undefined;0;0;0;0;undefined
0;undefined;"Travis,CA (From Diamond Princess)";US;2020-02-24T23:33:02;undefined;undefined;0;0;0;0;undefined
